ward_id,ward_name,average_income,median_income,population,geometry_wkt_simplified
1,Etobicoke North,95200.0,81000.0,115115,"POLYGON ((-79.5806438818039 43.7630179182296, -79.577533983927 43.7621263246425, -79.5806227685616 43.7603638887415, -79.5807665880169 43.7589271435657, -79.5838189764281 43.7586957215887, -79.5838615145655 43.7574355326989, -79.5851989161191 43.7567280850385, -79.582854973047 43.7525488606562, -79.5778956299184 43.7503605466207, -79.5732689816388 43.7503607707071, -79.5728482385064 43.7469618693643, -79.5639816007272 43.7452563526535, -79.5621660109076 43.7440740642195, -79.5622928648703 43.7428537365903, -79.5583888298845 43.742731553826, -79.5578340888401 43.7409645100125, -79.5567936078822 43.7414129143263, -79.556459633581 43.7431015458574, -79.5512095828039 43.7442382435337, -79.5498387738438 43.7435867745818, -79.5503924993671 43.7423371811865, -79.5493378791571 43.7425370182075, -79.5491284763394 43.7417600514232, -79.546403725737 43.7409468859699, -79.5464266315336 43.7397896979675, -79.5499384747316 43.73791348821, -79.5504593890964 43.7360040007507, -79.5490824084154 43.7357940706652, -79.5505578185309 43.7347170068535, -79.5503601407698 43.7335339636106, -79.5463242788161 43.731443235278, -79.5440766855671 43.7322737136667, -79.5448284496436 43.730801674719, -79.5427896907477 43.729839305997, -79.5401458355902 43.7297818021389, -79.5392827914331 43.7308848162774, -79.5394910991193 43.7319469350095, -79.538422545757 43.7316187452103, -79.5388639145477 43.7292601735004, -79.5382788771441 43.726906448073, -79.5411448551335 43.7259242630762, -79.5407877210953 43.7222652771005, -79.5428034846283 43.7203607758502, -79.5439287461754 43.7174167862183, -79.5409157095346 43.7167428012782, -79.5407375276308 43.7153565722686, -79.5380102314453 43.7143133026368, -79.5379419348259 43.7123959575792, -79.5395722862785 43.7103430533976, -79.5385271712893 43.7087350909293, -79.5356588659721 43.7078940159504, -79.5359612062898 43.7045893739186, -79.5311573120798 43.7047826284806, -79.5285699277462 43.7024152124689, -79.5259742600834 43.7015979484891, -79.5708382592862 43.6915924887101, -79.5631767235789 43.6744777585563, -79.5819082034639 43.6722567123934, -79.5910867990462 43.6685878284164, -79.6001496835619 43.6851074430881, -79.6259401206744 43.7281872262178, -79.6277894829513 43.7331784457631, -79.6303547109175 43.7354695478806, -79.6376119524667 43.7483009597757, -79.6392649324429 43.7498707479426, -79.6364548228442 43.7510550500096, -79.631721857084 43.7515094653301, -79.5806438818039 43.7630179182296))"
2,Etobicoke Centre,146600.0,100000.0,117200,"POLYGON ((-79.5708382592862 43.6915924887101, -79.5259742600834 43.7015979484891, -79.5218060034769 43.7000433351966, -79.5188158132893 43.6971218243443, -79.5119646660839 43.696694069448, -79.5132891036969 43.6933839865311, -79.5125522883929 43.6888217984749, -79.509537389961 43.6829136420469, -79.5059693416865 43.6822255448498, -79.5054664261131 43.6809204877818, -79.5088343590529 43.6763880331835, -79.5123009338975 43.673934879435, -79.5112739940851 43.6682776863479, -79.5130808922351 43.6657570300492, -79.512404288408 43.6629216836116, -79.5113028845748 43.6621207053764, -79.5055219916522 43.6628054218342, -79.5174834276711 43.6578684023978, -79.520208373706 43.6506797589968, -79.5224017400885 43.6482693883743, -79.5265521608893 43.6508929189559, -79.5293477932781 43.6511488101995, -79.5319850613329 43.6500365336641, -79.5325794092284 43.6520752099077, -79.537155730203 43.6526276406324, -79.5378647064246 43.6549812355349, -79.5397577922031 43.6550571313208, -79.5396541389522 43.653666475992, -79.540476698974 43.6535618079735, -79.5353609571934 43.64179494861, -79.5595857324343 43.6362382298188, -79.5567688031798 43.6285327906689, -79.5637603220542 43.6270261958096, -79.5641084183987 43.6279936873365, -79.5668617232265 43.62821715408, -79.5683666151664 43.6268030356577, -79.5702159243806 43.626959448225, -79.5750646360305 43.6254350948204, -79.5858320004143 43.6291618553771, -79.5850553371865 43.6316433726355, -79.5860533928455 43.6354457118936, -79.5853034403927 43.637278046399, -79.588440205519 43.6426044060662, -79.5903776118865 43.6440025861263, -79.5926687690227 43.6446938483076, -79.5956284959256 43.6432061755429, -79.5982324520269 43.6430914324626, -79.6029348931984 43.6446926264136, -79.607812510238 43.645051947701, -79.608734677802 43.6464513180578, -79.5887784056154 43.6646223420356, -79.5910867990462 43.6685878284164, -79.5819082034639 43.6722567123934, -79.5631767235789 43.6744777585563, -79.5708382592862 43.6915924887101))"
3,Etobicoke-Lakeshore,127200.0,90000.0,139920,"POLYGON ((-79.4977664417731 43.6519831920068, -79.493649416443 43.6523054120833, -79.4914956669504 43.6516256785584, -79.4908779500622 43.6500458471451, -79.4927857441415 43.6462102948592, -79.4897980092811 43.6414557227842, -79.4852160621916 43.6420330023085, -79.4848333120482 43.6384761119348, -79.4774989205305 43.6377333518459, -79.4754993659415 43.6341070392367, -79.4712285274822 43.631699270778, -79.4708328007813 43.6307054348706, -79.4721141091145 43.6306301609079, -79.4752829379748 43.6281630766643, -79.4766444383354 43.6247881443255, -79.4759228591112 43.624036098492, -79.4768534994517 43.6238961838694, -79.4740613981299 43.6225724950573, -79.4733850701713 43.6232163000954, -79.4742543724857 43.6238222216326, -79.4738630986116 43.6241949079463, -79.4723979428326 43.6234892136242, -79.4715585106733 43.6243351667612, -79.472025063145 43.6253524492675, -79.4706678931338 43.6253296326039, -79.4692024123316 43.6225613157647, -79.4732383296538 43.6220581540569, -79.4748211257673 43.6201771654399, -79.4746389135261 43.6187323988326, -79.4777272625649 43.620528337436, -79.4770495245067 43.6208076971117, -79.4775433188162 43.6215819162148, -79.4799671445026 43.6215218501883, -79.4778223789873 43.620473960416, -79.4803294632941 43.6213934180197, -79.4765142721755 43.6190793178008, -79.4772710761206 43.6183143418037, -79.4783243469938 43.6191066705576, -79.4788402378225 43.6186026881856, -79.4783375106112 43.6179184867138, -79.4772739662552 43.6173516322854, -79.4759106190298 43.6181959016914, -79.4749330784537 43.6177769188151, -79.4773497990383 43.6155493840407, -79.4770076875135 43.6143221705284, -79.4786178723782 43.6142369515507, -79.4790634767994 43.6119731768431, -79.4808013069714 43.6134181919391, -79.4830718274858 43.6123698941993, -79.4841777106718 43.6132116674376, -79.4833244239834 43.6147372776504, -79.4827009116227 43.6139585713238, -79.4805227361977 43.6140482441633, -79.4804264719501 43.6161905739762, -79.4788469134069 43.6170904430837, -79.4805613706696 43.6183779495012, -79.481311504392 43.6178334801431, -79.4816315720952 43.6187682656442, -79.4844134142116 43.6177033166375, -79.4870221931519 43.6129788889454, -79.4861710303902 43.6127546897858, -79.486808966684 43.6119664476914, -79.4865353265029 43.6096874983154, -79.4925904978245 43.6021363540852, -79.4965374598498 43.6015513852776, -79.4981556392887 43.5997826759007, -79.4983214328822 43.5978248736377, -79.4995620170387 43.5975323291697, -79.5009180139244 43.5949938462963, -79.5059162701918 43.5934365180451, -79.5066409015637 43.594165649769, -79.5106434121966 43.5936683681221, -79.5097045215892 43.5927216969876, -79.5105856922729 43.5926433511641, -79.5096324329726 43.5924284807628, -79.5108719611958 43.5910429198153, -79.5086861632377 43.5903904022323, -79.510388531602 43.5890643995822, -79.5103643259658 43.5880109610247, -79.5093527810973 43.5872679146782, -79.51402912409 43.58706316632, -79.5171496244709 43.5883095600991, -79.5130750124087 43.5877090712265, -79.5111342300442 43.5887867604179, -79.5116151750561 43.5902876875998, -79.5152052853734 43.5900505821906, -79.5155544002393 43.5908408450631, -79.5156984163426 43.5895021107689, -79.5149616524519 43.5889534266752, -79.5164905438622 43.5888913043384, -79.5167313875657 43.5902814184197, -79.5186598571059 43.5907243336154, -79.5275456732272 43.5895723318817, -79.5297132536543 43.5879065012177, -79.5307356590664 43.5878927197337, -79.5308362613886 43.5885903147542, -79.5339554777958 43.5875444424225, -79.5369620816413 43.5880753971928, -79.5422168310978 43.583662959622, -79.5434064053223 43.5809960000775, -79.5446515268285 43.58527706857, -79.5481579450944 43.5869967340056, -79.5464074329289 43.5889304044527, -79.5495470658683 43.5906173371568, -79.5488089499647 43.5949533931403, -79.5537118815292 43.5957648896993, -79.5535885760788 43.598294308728, -79.5556914683583 43.5996749530664, -79.556311083331 43.6025686391816, -79.5625160305016 43.6066729485844, -79.5647051670729 43.6071053384002, -79.5648040920637 43.6083834852034, -79.5672437219043 43.6094306974528, -79.5671692674104 43.6106647375411, -79.5639484204595 43.6125336865783, -79.5683543841088 43.6143674176609, -79.5678508018179 43.6167801241472, -79.5665445269285 43.6178160545008, -79.5669070241591 43.620705340604, -79.5655810180842 43.6216242705063, -79.5655338404904 43.6242077636435, -79.5636018205713 43.6248884696888, -79.5637603220542 43.6270261958096, -79.5567688031798 43.6285327906689, -79.5595857324343 43.6362382298188, -79.5353609571934 43.64179494861, -79.540476698974 43.6535618079735, -79.5396541389522 43.653666475992, -79.5402158754494 43.6546969349238, -79.5395807629151 43.6551246939051, -79.5378647064246 43.6549812355349, -79.537155730203 43.6526276406324, -79.5325794092284 43.6520752099077, -79.5319850613329 43.6500365336641, -79.5293477932781 43.6511488101995, -79.5265521608893 43.6508929189559, -79.5224017400885 43.6482693883743, -79.520208373706 43.6506797589968, -79.5174834276711 43.6578684023978, -79.5055219916522 43.6628054218342, -79.4995196790461 43.6586875469094, -79.5000256761463 43.6571662838643, -79.5025082555512 43.655136361417, -79.5027792636753 43.6532145747912, -79.4977664417731 43.6519831920068))"
4,Parkdale-High Park,127200.0,85000.0,104705,"POLYGON ((-79.5065399168389 43.6653932622734, -79.4600458827451 43.6672259620873, -79.4422439897742 43.6493845400506, -79.4282100821178 43.6423113693663, -79.4254243849667 43.6338795502891, -79.4287065660649 43.6329132750031, -79.4277754764607 43.629793474517, -79.4336237159847 43.6308452769194, -79.4392648126423 43.6331437315713, -79.4411410113958 43.6348739964159, -79.4432248569311 43.6347150777054, -79.4468354531457 43.6363479907665, -79.4552313714824 43.6374782990929, -79.4639407735482 43.6356961967791, -79.4680463913679 43.6340347361142, -79.4712285274822 43.631699270778, -79.4754993659415 43.6341070392367, -79.4774989205305 43.6377333518459, -79.4848333120482 43.6384761119348, -79.4852160621916 43.6420330023085, -79.4899018483529 43.6415527128218, -79.4927857441415 43.6462102948592, -79.4908779500622 43.6500458471451, -79.4914956669504 43.6516256785584, -79.5024871732901 43.6528770396295, -79.5025082555512 43.655136361417, -79.4995289961899 43.6579134129492, -79.5001449124321 43.659344646206, -79.5057672682841 43.6629089161497, -79.5102473912706 43.6619363043415, -79.5122116343354 43.6626336614198, -79.5093780137773 43.6646323975887, -79.5065399168389 43.6653932622734))"
5,York South-Weston,88700.0,72000.0,115675,"POLYGON ((-79.4725666844142 43.7248699022048, -79.4654560519853 43.6938501360024, -79.4630648926798 43.6893408822172, -79.4612985347611 43.6832389166322, -79.4676750928417 43.6818953547922, -79.4664530229404 43.6806018741342, -79.4705581756293 43.6796952496402, -79.4695233182969 43.67687365058, -79.4600458827451 43.6672259620873, -79.4739684504085 43.6673336937889, -79.5059641077515 43.6654473197935, -79.5090738637709 43.6647764525559, -79.5122116343354 43.6626336614198, -79.5130755872584 43.6661665914746, -79.5112739940851 43.6682776863479, -79.5123009338975 43.673934879435, -79.5088343590529 43.6763880331835, -79.5054664261131 43.6809204877818, -79.5059693416865 43.6822255448498, -79.509537389961 43.6829136420469, -79.5125522883929 43.6888217984749, -79.5132891036969 43.6933839865311, -79.5119646660839 43.696694069448, -79.5188158132893 43.6971218243443, -79.5211795820432 43.6997169404401, -79.5285699277462 43.7024152124689, -79.5311573120798 43.7047826284806, -79.5359612062898 43.7045893739186, -79.5356588659721 43.7078940159504, -79.5389018828899 43.7089999793716, -79.5395981412305 43.7107121143573, -79.5378418799993 43.7129901010899, -79.5268433682294 43.7155355290775, -79.4997777501461 43.718795623187, -79.4725666844142 43.7248699022048))"
6,York Centre,107500.0,82000.0,107350,"POLYGON ((-79.4466297555239 43.7881143346654, -79.4399843054519 43.7615576575323, -79.4376564480818 43.7604447200018, -79.4379670964159 43.7591891782834, -79.4352580703734 43.7588637140975, -79.432982086036 43.7571882977582, -79.4303121220997 43.7575152535561, -79.4280572742622 43.7541313787285, -79.4234706383109 43.7513097372232, -79.4222907421622 43.7496097660865, -79.4176383886104 43.7498162544205, -79.4152369837399 43.7519781176979, -79.4114492180327 43.751653633058, -79.4198604902038 43.744645190955, -79.4423023343175 43.7315212674179, -79.4906906324741 43.7204325090104, -79.5078301632192 43.717755170299, -79.513221023395 43.7393893286881, -79.497023646026 43.7425188149772, -79.4978842288617 43.7435970086561, -79.4979603830721 43.7459123558268, -79.5019292009025 43.7471239025161, -79.5047368055003 43.7491526746467, -79.4975453425069 43.7505353043814, -79.4920687852362 43.7529772614301, -79.4894699236512 43.7518257800638, -79.4881735629245 43.7520237517077, -79.494644673321 43.7776642533217, -79.4945063595238 43.7815790749568, -79.4457551676068 43.792407466692, -79.4454014110689 43.7906925814683, -79.4466297555239 43.7881143346654))"
7,Humber River-Black Creek,85700.0,73000.0,111215,"POLYGON ((-79.494644673321 43.7776642533217, -79.4881735629245 43.7520237517077, -79.4894699236512 43.7518257800638, -79.4920687852362 43.7529772614301, -79.4975453425069 43.7505353043814, -79.5047368055003 43.7491526746467, -79.5019292009025 43.7471239025161, -79.4979603830721 43.7459123558268, -79.4978842288617 43.7435970086561, -79.497023646026 43.7425188149772, -79.513221023395 43.7393893286881, -79.5078301632192 43.717755170299, -79.5252849829591 43.7158238706769, -79.5378418799993 43.7129901010899, -79.5382066350366 43.7145787923277, -79.5407375276308 43.7153565722686, -79.5409157095346 43.7167428012782, -79.5440778940447 43.7177047959644, -79.5428034846283 43.7203607758502, -79.5407877210953 43.7222652771005, -79.5411448551335 43.7259242630762, -79.5382788771441 43.726906448073, -79.5384626020749 43.7317717616949, -79.5394910991193 43.7319469350095, -79.5392827914331 43.7308848162774, -79.5401458355902 43.7297818021389, -79.5427896907477 43.729839305997, -79.5448284496436 43.730801674719, -79.5440766855671 43.7322737136667, -79.5463242788161 43.731443235278, -79.5504574058847 43.7337307686038, -79.5505578185309 43.7347170068535, -79.5490824084154 43.7357940706652, -79.5504593890964 43.7360040007507, -79.5499384747316 43.73791348821, -79.5464266315336 43.7397896979675, -79.546403725737 43.7409468859699, -79.5491284763394 43.7417600514232, -79.5493378791571 43.7425370182075, -79.5503924993671 43.7423371811865, -79.5498387738438 43.7435867745818, -79.5512095828039 43.7442382435337, -79.556459633581 43.7431015458574, -79.5567936078822 43.7414129143263, -79.5578340888401 43.7409645100125, -79.5583888298845 43.742731553826, -79.5622928648703 43.7428537365903, -79.5621660109076 43.7440740642195, -79.5639816007272 43.7452563526535, -79.5728482385064 43.7469618693643, -79.5733789706221 43.7476858120502, -79.5729706599461 43.7501978417497, -79.5778956299184 43.7503605466207, -79.582854973047 43.7525488606562, -79.5852117269988 43.7564970328686, -79.5838615145655 43.7574355326989, -79.5840020811173 43.7585629816366, -79.5807665880169 43.7589271435657, -79.5806227685616 43.7603638887415, -79.577533983927 43.7621263246425, -79.5806438818039 43.7630179182296, -79.4945063595238 43.7815790749568, -79.494644673321 43.7776642533217))"
8,Eglinton-Lawrence,176400.0,97000.0,114825,"POLYGON ((-79.4645741146664 43.6921734561128, -79.4685079207752 43.704675421564, -79.4725666844142 43.7248699022048, -79.4407533230343 43.7321217663273, -79.4188963388089 43.7452801314285, -79.4145882372454 43.7495990040823, -79.408388704346 43.7536163537944, -79.4081097503073 43.7497935450057, -79.3983665000037 43.7067319904649, -79.4645741146664 43.6921734561128))"
9,Davenport,107300.0,85000.0,104725,"POLYGON ((-79.4502789805454 43.6956920028916, -79.4461172265153 43.6855663935808, -79.4386937707147 43.6871340019649, -79.4382584452398 43.6863629590337, -79.4346396357324 43.6870982979164, -79.4332591848532 43.6832922431599, -79.4338158053278 43.6830246698281, -79.4302261813582 43.6747352755612, -79.4309834971531 43.6747227013916, -79.4207821526692 43.6493340834881, -79.4247515152879 43.6494378865496, -79.4213971910843 43.6406113979274, -79.4271937037045 43.6418062805652, -79.4423295466943 43.6494520934644, -79.4695233182969 43.67687365058, -79.4705581756293 43.6796952496402, -79.4664530229404 43.6806018741342, -79.4676750928417 43.6818953547922, -79.4612985347611 43.6832389166322, -79.4646206444876 43.6921556119541, -79.4630531790546 43.6928428599805, -79.4502789805454 43.6956920028916))"
10,Spadina-Fort York,118200.0,89000.0,135400,"POLYGON ((-79.3837661930223 43.6557159692698, -79.3791349753174 43.6459870607196, -79.3769743175951 43.6468847935012, -79.3765030771403 43.6457838773097, -79.3717413242899 43.6480415953011, -79.3495236876076 43.6535994380291, -79.3474651937934 43.6505131959369, -79.3598538981138 43.6452985787937, -79.349647800299 43.6333942966004, -79.3525152582638 43.6337126393982, -79.3493872836886 43.6310230779534, -79.3498234931558 43.6290407891958, -79.3502094354829 43.629734060748, -79.3544121352382 43.6297705810501, -79.3589299040671 43.6246295617448, -79.3664531220754 43.619338102491, -79.3758416594589 43.6145336845491, -79.3796971239741 43.6137255458187, -79.3821829478993 43.612225365689, -79.3887711060802 43.6119544426127, -79.3898514147132 43.6123993576512, -79.389936811102 43.6136556870088, -79.3916141534939 43.6150586392325, -79.3919193737047 43.6166509814803, -79.3944706554178 43.6198606668943, -79.4013600684978 43.6253943833933, -79.4032914947171 43.6266379746427, -79.4042866474789 43.6264410874429, -79.4047625305136 43.6274332408843, -79.3987655310305 43.6315514189895, -79.3979229369802 43.6333620192249, -79.402315806205 43.6310183579502, -79.405063443553 43.6331162682793, -79.4086244122116 43.6330664039131, -79.4087925320673 43.6317001632942, -79.4099973917563 43.6311166129157, -79.4090547285709 43.6296511063015, -79.4101946040083 43.6292379073111, -79.4108679318025 43.627478553419, -79.4155880678591 43.6268698610901, -79.4161950598646 43.6281035080669, -79.4186349803506 43.626750452393, -79.4150183619134 43.6264013752946, -79.4200139206804 43.626755881206, -79.4224792185828 43.6275406111008, -79.4224664079757 43.6290618383046, -79.4196263662657 43.6293165516133, -79.4198735622759 43.6283400467847, -79.4180323723606 43.6282277722599, -79.4184275974182 43.6294961894685, -79.4201395041337 43.6301301961376, -79.4277754764607 43.629793474517, -79.4287065660649 43.6329132750031, -79.4254243849667 43.6338795502891, -79.4286441986526 43.6422084224097, -79.4213971910843 43.6406113979274, -79.4247515152879 43.6494378865496, -79.4207821526692 43.6493340834881, -79.4055986208919 43.6523770388198, -79.4037475308531 43.6517410074764, -79.3837661930223 43.6557159692698))"
