Age Group,Ward,Count of People
  15 to 19 years,Ward 1,7085
  20 to 24 years,Ward 1,9645
  25 to 29 years,Ward 1,10095
  30 to 34 years,Ward 1,8125
  35 to 39 years,Ward 1,7265
  40 to 44 years,Ward 1,6905
  45 to 49 years,Ward 1,7035
  50 to 54 years,Ward 1,7515
  55 to 59 years,Ward 1,7925
  60 to 64 years,Ward 1,7070
  65 to 69 years,Ward 1,5495
  70 to 74 years,Ward 1,4745
  75 to 79 years,Ward 1,3140
  80 to 84 years,Ward 1,2390
  85 to 89 years,Ward 1,1435
  90 years and over,Ward 1,745
  15 to 19 years,Ward 2,6540
  20 to 24 years,Ward 2,6600
  25 to 29 years,Ward 2,6820
  30 to 34 years,Ward 2,6755
  35 to 39 years,Ward 2,7395
  40 to 44 years,Ward 2,7045
  45 to 49 years,Ward 2,7135
  50 to 54 years,Ward 2,8380
  55 to 59 years,Ward 2,9530
  60 to 64 years,Ward 2,8675
  65 to 69 years,Ward 2,7165
  70 to 74 years,Ward 2,6020
  75 to 79 years,Ward 2,4060
  80 to 84 years,Ward 2,3575
  85 to 89 years,Ward 2,2555
  90 years and over,Ward 2,1650
  15 to 19 years,Ward 3,5160
  20 to 24 years,Ward 3,7040
  25 to 29 years,Ward 3,11455
  30 to 34 years,Ward 3,13980
  35 to 39 years,Ward 3,12460
  40 to 44 years,Ward 3,10305
  45 to 49 years,Ward 3,9380
  50 to 54 years,Ward 3,9215
  55 to 59 years,Ward 3,9705
  60 to 64 years,Ward 3,9140
  65 to 69 years,Ward 3,7315
  70 to 74 years,Ward 3,6365
  75 to 79 years,Ward 3,4065
  80 to 84 years,Ward 3,3000
  85 to 89 years,Ward 3,1830
  90 years and over,Ward 3,1045
  15 to 19 years,Ward 4,4680
  15 to 19 years,Ward 5,6390
  15 to 19 years,Ward 6,5705
  15 to 19 years,Ward 7,7175
  15 to 19 years,Ward 8,7220
  15 to 19 years,Ward 9,3895
  15 to 19 years,Ward 10,2195
  15 to 19 years,Ward 11,3490
  15 to 19 years,Ward 12,4485
  15 to 19 years,Ward 13,3445
  15 to 19 years,Ward 14,4200
  15 to 19 years,Ward 15,6665
  15 to 19 years,Ward 16,5225
  15 to 19 years,Ward 17,5090
  15 to 19 years,Ward 18,5035
  15 to 19 years,Ward 19,5480
  15 to 19 years,Ward 20,6425
  15 to 19 years,Ward 21,6440
  15 to 19 years,Ward 22,4930
  15 to 19 years,Ward 23,4750
  15 to 19 years,Ward 24,6030
  15 to 19 years,Ward 25,6105
  20 to 24 years,Ward 4,4550
  20 to 24 years,Ward 5,7490
  20 to 24 years,Ward 6,7225
  20 to 24 years,Ward 7,9380
  20 to 24 years,Ward 8,7145
  20 to 24 years,Ward 9,5595
  20 to 24 years,Ward 10,10385
  20 to 24 years,Ward 11,9715
  20 to 24 years,Ward 12,5840
  20 to 24 years,Ward 13,12140
  20 to 24 years,Ward 14,4855
  20 to 24 years,Ward 15,6035
  20 to 24 years,Ward 16,5660
  20 to 24 years,Ward 17,7610
  20 to 24 years,Ward 18,8180
  20 to 24 years,Ward 19,5295
  20 to 24 years,Ward 20,7060
  20 to 24 years,Ward 21,8155
  20 to 24 years,Ward 22,6715
  20 to 24 years,Ward 23,6835
  20 to 24 years,Ward 24,7820
  20 to 24 years,Ward 25,7585
  25 to 29 years,Ward 4,7690
  25 to 29 years,Ward 5,8205
  25 to 29 years,Ward 6,7840
  25 to 29 years,Ward 7,8750
  25 to 29 years,Ward 8,6975
  25 to 29 years,Ward 9,9930
  25 to 29 years,Ward 10,28800
  25 to 29 years,Ward 11,13380
  25 to 29 years,Ward 12,10945
  25 to 29 years,Ward 13,17365
  25 to 29 years,Ward 14,6620
  25 to 29 years,Ward 15,5910
  25 to 29 years,Ward 16,6735
  25 to 29 years,Ward 17,10450
  25 to 29 years,Ward 18,11500
  25 to 29 years,Ward 19,6085
  25 to 29 years,Ward 20,7285
  25 to 29 years,Ward 21,8935
  25 to 29 years,Ward 22,7605
  25 to 29 years,Ward 23,7150
  25 to 29 years,Ward 24,8560
  25 to 29 years,Ward 25,7540
  30 to 34 years,Ward 4,10640
  30 to 34 years,Ward 5,8450
  30 to 34 years,Ward 6,7570
  30 to 34 years,Ward 7,7460
  30 to 34 years,Ward 8,7575
  30 to 34 years,Ward 9,12345
  30 to 34 years,Ward 10,27255
  30 to 34 years,Ward 11,11965
  30 to 34 years,Ward 12,12845
  30 to 34 years,Ward 13,16335
  30 to 34 years,Ward 14,9015
  30 to 34 years,Ward 15,6495
  30 to 34 years,Ward 16,6820
  30 to 34 years,Ward 17,9870
  30 to 34 years,Ward 18,11985
  30 to 34 years,Ward 19,7760
  30 to 34 years,Ward 20,7380
  30 to 34 years,Ward 21,8055
  30 to 34 years,Ward 22,7025
  30 to 34 years,Ward 23,6595
  30 to 34 years,Ward 24,7245
  30 to 34 years,Ward 25,6140
  35 to 39 years,Ward 4,9900
  35 to 39 years,Ward 5,8400
  35 to 39 years,Ward 6,7560
  35 to 39 years,Ward 7,7445
  35 to 39 years,Ward 8,7580
  35 to 39 years,Ward 9,10760
  35 to 39 years,Ward 10,15870
  35 to 39 years,Ward 11,8315
  35 to 39 years,Ward 12,10070
  35 to 39 years,Ward 13,11390
  35 to 39 years,Ward 14,9515
  35 to 39 years,Ward 15,6380
  35 to 39 years,Ward 16,6280
  35 to 39 years,Ward 17,8405
  35 to 39 years,Ward 18,9520
  35 to 39 years,Ward 19,8765
  35 to 39 years,Ward 20,7645
  35 to 39 years,Ward 21,7455
  35 to 39 years,Ward 22,6305
  35 to 39 years,Ward 23,5645
  35 to 39 years,Ward 24,6535
  35 to 39 years,Ward 25,5980
  40 to 44 years,Ward 4,8465
  40 to 44 years,Ward 5,7845
  40 to 44 years,Ward 6,7710
  40 to 44 years,Ward 7,7180
  40 to 44 years,Ward 8,7910
  40 to 44 years,Ward 9,8415
  40 to 44 years,Ward 10,9345
  40 to 44 years,Ward 11,5805
  40 to 44 years,Ward 12,7505
  40 to 44 years,Ward 13,7635
  40 to 44 years,Ward 14,8915
  40 to 44 years,Ward 15,6565
  40 to 44 years,Ward 16,6250
  40 to 44 years,Ward 17,6975
  40 to 44 years,Ward 18,7880
  40 to 44 years,Ward 19,8915
