route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
74515,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
74290,1,10,VAN HORNE,,3,,FF0000,FFFFFF
74291,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
74292,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
74293,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
74294,1,104,FAYWOOD,,3,,FF0000,FFFFFF
74295,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
74296,1,106,SENTINEL,,3,,FF0000,FFFFFF
74297,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
74298,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
74299,1,109,RANEE,,3,,FF0000,FFFFFF
74300,1,11,BAYVIEW,,3,,FF0000,FFFFFF
74301,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
74302,1,111,EAST MALL,,3,,FF0000,FFFFFF
74303,1,112,WEST MALL,,3,,FF0000,FFFFFF
74304,1,113,DANFORTH,,3,,FF0000,FFFFFF
74305,1,114,QUEENS QUAY EAST,,3,,FF0000,FFFFFF
74306,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
74307,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
74308,1,117,BIRCHMOUNT SOUTH,,3,,FF0000,FFFFFF
74309,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
74310,1,119,TORBARRIE,,3,,FF0000,FFFFFF
74311,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
74312,1,120,CALVINGTON,,3,,FF0000,FFFFFF
74313,1,121,ESPLANADE-RIVER,,3,,FF0000,FFFFFF
74314,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
74315,1,123,SHERWAY,,3,,FF0000,FFFFFF
74316,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
74317,1,125,DREWRY,,3,,FF0000,FFFFFF
74318,1,126,CHRISTIE,,3,,FF0000,FFFFFF
74319,1,127,DAVENPORT,,3,,FF0000,FFFFFF
74320,1,128,STANLEY GREENE,,3,,FF0000,FFFFFF
74321,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
74322,1,13,AVENUE ROAD,,3,,FF0000,FFFFFF
